time,sharp_usflux_max,sharp_usflux_sum,sharp_totusjh_max,sharp_totusjh_sum,sharp_totpot_max,sharp_totpot_sum,sharp_meanpot_max,sharp_meanpot_sum,sharp_savncpp_max,sharp_savncpp_sum,sharp_meanshr_max,sharp_meanshr_sum,sharp_shrgt45_max,sharp_shrgt45_sum,sharp_r_value_max,sharp_r_value_sum,sharp_area_acr_max,sharp_area_acr_sum,sharp_n_ar
2024-06-23 05:59:23,7.302799e+22,2.574998412e+23,4199.739,14359.296,1.123253e+24,3.9292146299e+24,17826.97,64385.393000000004,9677335000000.0,44343429280000.0,46.646,290.497,47.222,201.626,5.267,31.662,2061.873779,8545.294052,8
2024-06-23 11:59:23,6.547829e+22,2.461535477e+23,3510.802,13338.252,1.047132e+24,3.6989753383e+24,19132.21,66827.175,14243680000000.0,54378479080000.0,49.506,294.08799999999997,51.655,209.413,5.23,30.59,1926.963013,8532.839159,8
2024-06-23 17:59:23,6.905658e+22,2.453257169e+23,3340.045,12628.937,9.947694e+23,3.3986251801e+24,19549.08,63132.943,14236120000000.0,44324787700000.0,50.6,280.116,53.871,217.744,5.055,31.119,1846.347534,8206.592337,7
2024-06-23 23:59:23,7.691882e+22,2.165568174e+23,3643.335,11529.249,9.05422e+23,2.82603694e+24,16571.11,60201.770000000004,15037700000000.0,40507829600000.0,62.73,274.61,80.595,251.191,5.076,31.069,1871.18396,7501.723206000001,6
2024-06-24 05:59:23,9.00053e+22,2.04249213e+23,4624.988,11420.562,8.758204e+23,2.6724595e+24,16998.04,50854.716,16344310000000.0,41986552000000.0,48.652,223.595,53.573,197.252,5.479,31.953,2530.941895,7676.761947999999,6
2024-06-24 11:59:23,1.002297e+23,1.9120645795000002e+23,4998.729,10929.507000000001,1.155006e+24,2.7659683578e+24,16620.73,51125.609399999994,17722300000000.0,47639411130000.0,48.03,239.856,52.023,166.25300000000001,5.201,28.729,2470.328125,7380.111191,8
2024-06-24 17:59:23,1.185114e+23,1.953226651e+23,5783.475,10562.307,1.260815e+24,2.387100421e+24,16344.2,40708.256,13156090000000.0,27927372600000.0,49.661,200.657,55.223,152.096,5.254,21.721,2600.382324,6795.8097800000005,7
2024-06-24 23:59:23,1.239644e+23,1.8761883230000002e+23,5962.397,10240.422999999999,1.225261e+24,2.2343346936e+24,16492.58,36900.7819,16634500000000.0,35960068560000.0,48.972,199.298,53.2,136.29500000000002,5.159,25.071,2830.712402,6326.204673,7
2024-06-25 05:59:23,1.14726e+23,1.772169497e+23,6080.328,10096.207,1.197184e+24,2.1737021828e+24,17517.59,45332.249800000005,14273520000000.0,33888264870000.0,50.975,242.808,58.306,156.56099999999998,5.427,26.769,2911.716553,6426.020525,6
2024-06-25 11:59:23,1.062389e+23,1.71774403288e+23,5940.003,10250.051,1.161991e+24,2.1629106257620002e+24,15765.51,44769.119,18147990000000.0,41486706833000.0,49.971,276.696,55.318,148.444,5.062,25.826,3067.989746,6827.745812,6
2024-06-25 17:59:23,1.167006e+23,1.8756527480000002e+23,6377.158,10789.57,1.185737e+24,2.2188930738e+24,18879.18,49300.695999999996,13488070000000.0,32759121500000.0,48.517,246.137,53.377,180.889,5.314,28.091,3347.145752,7616.359621,6
2024-06-25 23:59:23,1.13149e+23,1.873465016e+23,6267.414,11292.851,1.114658e+24,2.2254794239e+24,15860.01,44010.781,24292940000000.0,53549452170000.0,48.15,250.144,52.493,163.534,5.326,28.455,3439.706543,7770.514754,6
